"Название раздела";"GUID идентификатор группы элементов";"GUID идентификатор родительской группы элементов";"Заголовок раздела(title)";"Описание раздела(description)";"Ключевые слова раздела(keywords)";"Описание раздела";"Путь для раздела";"Порядок сортировки раздела";"GUID идентификатор элемента";"Название элемента";"Описание элемента";"Текст для элемента";"Метки";"Активность элемента";"Порядок сортировки элемента";"Путь к элементу";"Заголовок (title)";"Значение мета-тега description для страницы с элементом";"Значение мета-тега keywords для страницы с элементом";"Флаг индексации";"Дата";"Дата публикации";"Дата завершения публикации";"Файл изображения для элемента";"Файл малого изображения для элемента";"Ярлыки";"Идентификатор пользователя сайта";"Форматированное текстовое поле1-1";"Чек бокс1-1";"Форматированное текстовое поле2-1";"Чек бокс2-1";"Форматированное текстовое поле3-1";"Чек бокс3-1";"Адрес (youtube)";"Заголовок1-1";"Ссылка1-1";"Описание1-1";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";
;;;;;;;;;;"Салаты с селедкой";;" Обыденная кулинария имеет достаточно много секретов. Даже то, что написано о ней классиками, при подробном знакомстве с предметом становится иногда удивительным. Многие считают, что понимание как приготовить салаты с селедкой присуще и каждой домохозяйке. Честно говоря, это вопрос не совсем простой.<br> Мы поделимся одним из ярких способов готовки этого блюда. Этот рецепт сложно назвать традиционным (хотя собственно почему?). Но по оригинальности ему, пожалуй, сложно найти сильного конкурента в своем классе. <br> Читайте нашу инструкцию и узнайте как правильно приготовить это вкусное блюдо, мы уверены что из нее вы узнаете о секретах готовки кое-что новое. По крайней мере, Вы точно будете знать как приготовить салаты с селедкой. Приятного чтения!";;"1";"0";"salaty-s-seledkoj";"Узнай как приготовить салаты с селедкой. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салаты с селедкой - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат с беконом";;" Обыденная кулинария, как оказывается, несет в себе достаточно много загадок. Многие считают, что понимание как приготовить салат с беконом присуще любой опытной хозяйке. Честно говоря, это вопрос спорный.<br> Мы остановимся на наиболее ярком из рецептов. Этот рецепт нельзя называть традиционным. Но по своей яркости ему, пожалуй, сложно найти достойного соперника в своем классе. <br> Ознакомьтесь с нашей инструкцией и будете знать как правильно приготовить это вкусное блюдо, из нее вы подчерпнете о популярном блюде кое-что новое. По крайней мере, Вы точно будете знать как приготовить салат с беконом. Приятного аппетита!";;"1";"0";"salat-s-bekonom";"Узнай как приготовить салат с беконом. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат с беконом - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат баварский";;"Довольно часто молодые любители кулинарных программ сомневаются в том как приготовить салат баварский. Однако, этот рецепт довольно простой. Привычная кулинария содержит много хитростей. Даже то, что писали о ней кулинарные знатоки, после пристального изучения оказывается не так очевидно. Традиционно считается, что знание как приготовить салат баварский присуще зрелой хозяйке. Честно говоря, это вопрос довольно риторический.<br> Мы же остановимся на самом ярком из рецептов. Этот способ готовки только с натяжкой можно назвать выдающимся (хотя почему?). Но по своей яркости ему сложно подыскать достойного соперника. <br> Прочитайте нашу инструкцию и вы узнаете как правильно приготовить это вкуснейшее блюдо, наша статья может оказаться для вас интересной. По крайней мере, Вы точно узнаете как приготовить салат баварский. Итак, устраивайтесь поудобнее, и мы начнем!";;"1";"0";"salat-bavarskij";"Узнай как приготовить салат баварский. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат баварский - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат с селедкой и картошкой";;" Обыденная кулинария, как оказывается, несет в себе много хитростей. Довольно часто то, что описано в классических трудах, при подробном знакомстве с предметом является не совсем очевидно. Традиционно считается, что понимание как приготовить салат с селедкой и картошкой является присущим для каждой домохозяйки. Это вопрос во многом неоднозначный.<br> Мы решили поделиться одним из доступных рецептов. Это блюдо только с натяжкой можно считать историческим. Но по оригинальности ему нет равных. <br> Ознакомьтесь с нашей инструкцией и вы узнаете как нужно готовить это вкуснейшее блюдо, из нее вы подчерпнете о кулинарии кое-что новое. Вы точно будете знать как приготовить салат с селедкой и картошкой. Приятного аппетита!";;"1";"0";"salat-s-seledkoj-i-kartoshkoj";"Узнай как приготовить салат с селедкой и картошкой. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат с селедкой и картошкой - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Американский картофельный салат";;" Русская кухня имеет много секретов. Довольно часто то, что описано в классических работах, при подробном знакомстве с предметом является иногда удивительным. Считается, что понимание как приготовить американский картофельный салат присуще опытной хозяйке. Это вопрос не простой.<br> Мы же остановимся на самом простом из рецептов. Этот рецепт нельзя называть традиционным (хотя почему?). Но по насыщенности вкусом ему нет конкурентов в своем классе. <br> Читайте нашу инструкцию и узнайте как нужно готовить это вкуснейшее блюдо, мы думаем что наша статья окажется полезной. Как минимум, Вы точно будете знать как приготовить американский картофельный салат. Итак, устраивайтесь поудобнее, мы начинаем!";;"1";"0";"amerikanskij-kartofelnyj-salat";"Узнай как приготовить американский картофельный салат. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Американский картофельный салат - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат австрийский";;" Обыденная кухня, как оказывается, несет в себе много загадок. Довольно часто то, что описано в классических трудах, при детальном разборе является иногда удивительным. Многие считают, что знание как приготовить салат австрийский присуще молодой хозяйке. Честно говоря, это вопрос довольно спорный.<br> Мы же решили остановиться на наиболее ярком из рецептов. Это блюдо вряд ли можно считать историческим. Но по своему вкусу ему нет равных в своем классе. <br> Изучите нашу инструкцию и узнайте как правильно приготовить это вкусное блюдо, мы уверены что из нее вы подчерпнете кое-что новое. Вы точно будете знать как приготовить салат австрийский. Приятного аппетита!";;"1";"0";"salat-avstrijskij";"Узнай как приготовить салат австрийский. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат австрийский - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат с жареной картошкой";;"Многие зрители программы "Адская кухня" не знают как приготовить салат с жареной картошкой. Однако, этот рецепт не такой сложный как кажется. Любая национальная кухня содержит достаточно много хитростей и даже тайн. Считается, что знание как приготовить салат с жареной картошкой является известным для начинающей хозяйки. Честно говоря, это вопрос во многом не такой простой.<br> Мы решили остановиться на самом ярком из рецептов. Это блюдо нельзя называть историческим. Но по своему вкусу ему, пожалуй, нет равных в своем классе. <br> Ознакомьтесь с нашей статьей и будете знать как правильно приготовить это вкусное блюдо, мы надеемся что наша статья может оказаться для вас интересной. Вы точно узнаете как приготовить салат с жареной картошкой. Приятного чтения!";;"1";"0";"salat-s-zharenoj-kartoshkoj";"Узнай как приготовить салат с жареной картошкой. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат с жареной картошкой - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат с фасолью и солеными огурцами";;"Многие молодые хозяйки не уверены как приготовить салат с фасолью и солеными огурцами. Впрочем, этот вопрос не такой сложный как кажется. Классическая кулинария, как оказывается, несет в себе много загадок. Даже то, что описано в классических трудах, после пристального изучения является не так очевидно. Традиционно считается, что понимание как приготовить салат с фасолью и солеными огурцами присуще начинающей домохозяйке. Это вопрос не совсем простой.<br> Мы решили поделиться одним из доступных способов готовки этого блюда. Этот рецепт только с натяжкой можно считать выдающимся. Но по своей яркости ему сложно найти достойного конкурента. <br> Изучите нашу инструкцию и узнайте как правильно приготовить это вкуснейшее блюдо, мы уверены что из нее вы узнаете о популярном блюде что-то новое. Как минимум, Вы точно узнаете как приготовить салат с фасолью и солеными огурцами. Итак, устраивайтесь поудобнее, мы начинаем!";;"1";"0";"salat-s-fasolju-i-solenymi-ogurcami";"Узнай как приготовить салат с фасолью и солеными огурцами. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат с фасолью и солеными огурцами - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат с квашеной капустой и картофелем";;" Русская кулинария, как оказывается, имеет много хитростей. Многие считают, что знание как приготовить салат с квашеной капустой и картофелем присуще и каждой хозяйке. Скажем честно, это вопрос довольно не простой.<br> Мы решили остановиться на самом ярком из рецептов. Это блюдо сложно считать выдающимся (хотя почему?). Но по своему вкусу ему сложно найти сильного конкурента. <br> Читайте нашу инструкцию и узнайте как правильно приготовить это вкуснейшее блюдо, мы надеемся что из нее вы подчерпнете о кулинарии что-то новое. По крайней мере, Вы точно будете знать как приготовить салат с квашеной капустой и картофелем. ";;"1";"0";"salat-s-kvashenoj-kapustoj-i-kartofelem";"Узнай как приготовить салат с квашеной капустой и картофелем. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат с квашеной капустой и картофелем - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат венский";;" Классическая кухня содержит достаточно много секретов и даже тайн. Считается, что знание как приготовить салат венский присуще начинающей домохозяйке. Это вопрос спорный.<br> Мы же остановимся на наиболее доступном из рецептов. Это блюдо только с натяжкой можно называть традиционным. Но по оригинальности ему, пожалуй, нет сильных соперников в своем классе. <br> Ознакомьтесь с нашей инструкцией и вы узнаете как нужно готовить это вкусное блюдо, мы надеемся что из нее вы подчерпнете для себя что-то новое. Как минимум, Вы точно узнаете как приготовить салат венский. Приятного аппетита!";;"1";"0";"salat-venskij";"Узнай как приготовить салат венский. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат венский - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
