"Название раздела";"GUID идентификатор группы элементов";"GUID идентификатор родительской группы элементов";"Заголовок раздела(title)";"Описание раздела(description)";"Ключевые слова раздела(keywords)";"Описание раздела";"Путь для раздела";"Порядок сортировки раздела";"GUID идентификатор элемента";"Название элемента";"Описание элемента";"Текст для элемента";"Метки";"Активность элемента";"Порядок сортировки элемента";"Путь к элементу";"Заголовок (title)";"Значение мета-тега description для страницы с элементом";"Значение мета-тега keywords для страницы с элементом";"Флаг индексации";"Дата";"Дата публикации";"Дата завершения публикации";"Файл изображения для элемента";"Файл малого изображения для элемента";"Ярлыки";"Идентификатор пользователя сайта";"Форматированное текстовое поле1-1";"Чек бокс1-1";"Форматированное текстовое поле2-1";"Чек бокс2-1";"Форматированное текстовое поле3-1";"Чек бокс3-1";"Адрес (youtube)";"Заголовок1-1";"Ссылка1-1";"Описание1-1";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";
;;;;;;;;;;"Стартовая страница ВКонтакте";;"Как правило, некоторые молодые пользователи соцсети Вконтакте не уверены как пользоваться стартовой страницей ВКонтакте. Между тем, ничего нерешаемого в этом вопросе нет.<br> Ознакомьтесь с нашей статьей о Вконтакте, из нее вы узнаете о Контакте много нового.";;"1";"0";"startovaja-stranica-vkontakte";"Социальная сеть ВКонтакте";"Стартовая страница социальной сети ВКонтакте: вход, помощь, советы, интересные фишки";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";"STORE Featured Explore Curators Wishlist News Stats COMMUNITY Home Discussions Workshop Market Broadcasts ABOUT SUPPORT Install Steam login  |  language Български (Bulgarian) čeština (Czech) Dansk (Danish) Nederlands (Dutch) Suomi (Finnish) Français (French) Deutsch (German) Ελληνικά (Greek) Magyar (Hungarian) Italiano (Italian) 日本語 (Japanese) 한국어 (Korean) Norsk (Norwegian) Polski (Polish) Português (Portuguese) Português-Brasil (Portuguese-Brazil) Română (Romanian) Русский (Russian) 简体中文 (Simplified Chinese) Español (Spanish) Svenska (Swedish) 繁體中文 (Traditional Chinese) ไทย (Thai) Türkçe (Turkish) Українська (Ukrainian) Help us translate Steam";"0";"Не так давно в «Часкоре» была опубликована статья «Воспоминания экс-спамера». В ней один из интернет-предпринимателей, зарабатывавших на спаме во «В Контакте», объявил о том, что у такого бизнеса очень скоро почти не останется воздуха. В какой-то мере с ним можно согласиться — сейчас спама действительно ощутимо меньше, чем было даже в прошлом году. Но оставшиеся спамеры прибегают ко всё более изощрённым методам. Сейчас я хочу рассказать об одном из таких методов, встретившихся мне сегодня. Начинается всё довольно невинно, кто-то из друзей пишет вам банальное «привет. как дела?». Вы не менее банально отвечаете, что у вас всё отлично, и интересуетесь делами собеседника, он уточняет: «ты за компом сейчас?», спрашивает: «хочешь посмеяться?» и кидает ссылку вроде http://tinyurl.com/home-video-10737644-html На этом этапе впечатляет уже то, что бот с, очевидно, взломанной учётной записи пишет три вполне уместные реплики, прежде чем кинуть ссылку. Ссылка перенаправляет на страницу http://46.98.28.65/home-video/10737644 с интерфейсом YouTube. Внимательный пользователь, разумеется, заметит несоответствие URL сайту, но расчёт, очевидно, делается на тех, кто на такое внимание не обращает. Страница, на которую даётся ссылка, персонализирована. Цифры 10737644 в ссылке — это мой id. В название и описание якобы-видеоролика вставлено моё имя: Видеоролик же нельзя посмотреть, потому что у меня, оказывается, устаревший Flash Player. Предлагается загрузить его «с сайта Adobe» по ссылке http://46.98.28.65/Flash-Player.exe Не менее чудесными являются «комментарии». В качестве авторов комментариев указаны мои реальные френды из «В Контакте» со своими аватарами: Особо примечателен второй комментарий, который должен окончательно убедить меня, что этот «Flash Player» всё-таки нужно скачать. Я обратился к Onthar — автору предыдущих топиков о вредоносном спаме во «В Контакте», вот его комментарий: Этот файл — троян-загрузчик. То есть он загружает и запускает вредоносные файлы из сети. Дело в том, что там какая-то партнерка или еще что-то. Файлов грузится необычно много (2-3 только за 5 минут анализа), и они все продолжают активность в системе. Пока могу точно сказать одно — это ботнет из загрузчиков, обращаются все файлы на разные домены (n-78.ru, vn-66.ru ...), но на один ip — 91.223.89.99. Не секрет, что загружать в систему жертвы эти файлы способны самое разнообразное вредоносное ПО, вплоть до знаменитого TDSS-буткита.";"0";"« Разное Сайты Развлечения Одежда Мужская одежда, Женская одежда, Одежда для девочек, Одежда для мальчиков, Одежда для новорожденных, Обувь женская... Компьютерные игры Приложения ВК, EA Games-Electronic Arts, Alawar, Ubisoft, Новый диск... Сайты Интернет-магазин, Заработок в Интернете, Красота и здоровье, Косметика, Досуг, хобби, YouTube канал... Канцтовары Хобби Вязание, Музыка, Вышивание, Вышивка крестом, Настольные игры, Алмазная мозаика... Ремонт, интерьер Мебель, Постельное белье, Элементы интерьера, Декоративные наклейки, Освещение, Шкатулка... Садоводство и цветоводство Садовые растения, Семена, Комнатные растения, Удобрения и стимуляторы роста растений, Горшки, вазы и кашпо для цветов, Грунт для растений...    Войти Зарегистрироваться";"0";"5pgKGwg2wUI";"Вход на сайт: стартовая страница vhod.cc - Головна | Facebook";"https://uk-ua.facebook.com/vhod.cc";"Вход на сайт: стартовая страница vhod.cc. 12 412 вподобань · 21 особа обговорює це. Вход в Контакт одним кликом, Моя страница в Контакте, ...";"Вход на сайт Вконтакте (vkontakte). Моя стартовая страница вк.";"http://vkontakte-vhody.ru/";"Быстрый вход на стартовую страницу в контакте, vkontakte (ВК). Войти в контакт прямо с главной страницы - vkontakte-vhody.ru.";"Стартовая страница VHOD.cc | OK.RU";"https://ok.ru/startovaya.vhod";"Группа Стартовая страница VHOD.cc в Одноклассниках. Быстрый вход на сайты Одноклассники, ВКонтакте, других социальных сетей и в почту.";"Вход в сеть - ВКонтакте, Одноклассники, Фейсбук, Твиттер, Майл ...";"http://wayback.archive.org/web/20160622143949/intellas.clan.su";"22 черв. 2016 р. - Вход на страницу ВКонтакте Вход на страницу Фейсбук Вход на страницу ... Стартовая страница - Вход в сеть Одноклассники - OK, ...";"Почему загружается не стартовая страница В контакте а страница ...";"https://otvet.mail.ru/question/64078245";"25 лип. 2012 р. - Почему при входе на сайт в контакте открывается страница новостей????Т. е. урл имеет вид по-умолчанию такой: [ссылка ...";
;;;;;;;;;;"Регистрация ВКонтакте";;"Как правило, некоторые молодые пользователи соцсети Вконтакте не знают как зарегистрироваться ВКонтакте. Однако, ничего тяжелого в этом вопросе нет.<br> Ознакомьтесь с нашей инструкцией о Вконтакте, мы думаем что из нее вы узнаете для себя что-то новое.";;"1";"0";"registracija-vkontakte";"Регистрация ВКонтакте";"Пошаговая инструкция по регистрации на сайте ВКонтакте (ВК)";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";"Регистрация ВКонтакте С чего начать? Где находится регистрация? Мы проведем тебя по всем шагам регистрации ВКонтакте. Открой главную страницу, где находится регистрация — при нажатии на эту ссылку сайт Вконтакте откроется в новом окне, и ты сможешь переключаться между ним и этой страницей, которая будет тебе помогать. Что потребуется? Регистрация бесплатна, а все, что тебе понадобится — мобильный телефон под рукой. Это должен быть именно твой телефон, так как если в будущем понадобится восстановить доступ, код придет в СМС именно на него. При регистрации новой страницы указывать номер нужно обязательно. Зарегистрировать две страницы на один и тот же номер нельзя (точнее, можно, но первая страница потеряет привязку к этому номеру). Если на этом компьютере кто-то уже зашел на сайт ВКонтакте, то сначала нужно оттуда выйти — кнопка «Выйти» там в правом верхнем углу. Первый шаг: имя и фамилия Итак, начинаем: введи свои имя и фамилию под заголовком «Моментальная регистрация» или, если такого нет, нажми кнопку в левой колонке. Посмотри на картинку ниже: примерно так выглядит то место, куда нужно ввести имя и фамилию. Чтобы начать вводить, нажми мышкой на белый прямоугольник, где написано «Введите имя», а когда введешь, нажми на второй прямоугольник, где написано «Введите фамилию»: Вводи внимательно, с большой буквы и без ошибок! Затем нажми «Зарегистрироваться». Совет: если у тебя есть старая страница, узнай, как восстановить доступ к ней, чтобы не регистрировать новую! Как восстановить пароль, доступ ВКонтакте Что делать, если заблокировали страницу ВКонтакте Второй шаг: твои одноклассники Теперь ВКонтакте предложит тебе выбрать школу, где ты учишься или учился — это поможет сразу найти одноклассников. Страна будет уже выбрана автоматически, например, Россия, а город нужно найти в списке (легче это сделать, начав набирать название — две-три первые буквы). Затем сайт позволит выбрать конкретную школу. Но если хочешь, можно это сразу пропустить — там есть кнопка «Пропустить поиск одноклассников». Третий шаг: твои однокурсники После этого будет похожий шаг — поиск однокурсников. Здесь все аналогично — выбор страны, города и затем выбор вуза. Как и поиск школы, этот шаг можно пропустить. Ты можешь не сообщать, где учился, если не хочешь. Четвертый шаг: номер мобильного телефона Теперь важный шаг: нужно ввести номер мобильного телефона, чтобы получить код подтверждения. Этот шаг обязательный. Зачем сайту ВКонтакте мой номер телефона? Дело в том, что имя и пароль не обеспечивают достаточной безопасности. Страницы, не привязанные к телефону, часто взламывают, а восстановить доступ не так-то легко, если нет привязки к номеру. Если же твой номер был указан при регистрации, то доступ можно быстро восстановить, заказав СМС с кодом и введя его на странице восстановления. Разумеется, это бесплатно. Никаких платных услуг на твой номер не подключается. ВКонтакте не собирает номера для тайной базы данных или каких-то мрачных целей. Просто так получается, что ежедневно кто-то забывает пароль или по другим причинам не может войти к себе на страницу, и привязка к номеру мобильника — эффективный способ предотвратить у всех этих людей истерику. ВКонтакте говорит, что номер недавно использовался. Что делать? Если при регистрации ты указываешь номер мобильного телефона, а ВКонтакте говорит, что этот номер недавно использовался или уже привязан к другой странице, то самое быстрое решение — использовать другой (но не чужой!) номер. Можно, например, купить новую самую дешевую симку. Это уже позволит тебе зарегистрироваться. Позднее ты сможешь попробовать привязать к странице свой старый номер, это делается в разделе «Мои Настройки», далее — кнопка «Изменить номер телефона». Если не получится, обратись в поддержку ВКонтакте и для ускорения процесса сразу укажи свой номер, к которому следует привязать страницу. В чем причина? Как известно, телефонные номера, которые не используются владельцами (например, более 3 месяцев), могут снова поступить в продажу. Если предыдущий владелец номера привязал его к своей странице ВКонтакте, а затем по истечении периода неактивности симка стала недействительной, то этот номер мог попасть именно к тебе. Вот так все и могло произойти. Важно: каждый номер телефона можно привязывать к странице ВКонтакте только несколько раз. Сайт запоминает все номера. Кроме того, всегда помни, что если ты потерял доступ к номеру, на который зарегистрирована твоя страница, необходимо будет привязать ее к новому номеру (в «Моих Настройках»). Пятый шаг: код подтверждения Введя номер и нажав кнопку «Получить код», нужно дождаться СМС-ки с кодом из пяти цифр. Его и нужно ввести на сайте, чтобы подтвердить, что это именно ты — живой человек, у которого есть мобильный телефон, чтобы в случае необходимости восстановить доступ. Куда вводить код? Сюда: Просто введи код подтверждения и нажми кнопку «Отправить код». Если прошло несколько минут и код не пришел, нажми на ссылку «Я не получил код». Тебе отправят еще одну СМС: Если и она не придет, можно попросить робота позвонить тебе на указанный номер — он продиктует код голосом. Для этого нажми «Да, пусть робот позвонит», иначе — «Не надо, СМС пришло». Шестой шаг: пароль Теперь остается только задать пароль, с которым ты будешь в дальнейшем заходить на сайт. Его нужно придумать. Пароль должен быть секретный, и его никто не должен знать, кроме тебя. Появится специальное место для ввода пароля. Хорошо, если ты придумаешь сложный пароль, с большими и маленькими буквами и цифрами. Сложность пароля по мере ввода будет показывать индикатор. Если пароль хороший и сложный, он подчеркнется зеленой линией и рядом будет написано, что это сильный пароль. Значит, ты молодец. И обрати внимание, на каком языке ты вводишь пароль — на русском или английском. На каком ты его введешь, на таком нужно будет вводить и в следующий раз, иначе сайт скажет тебе, что пароль неправильный. Совет: запиши пароль на бумажке и спрячь ее в надежное место, никому не показывая. Иногда пароль просто забывают. Всё! Регистрация закончена и можно нажать «Войти на сайт». Седьмой шаг, последний: вход на сайт Очень удобно входить на сайт ВКонтакте через стартовую страницу VHOD.cc, особенно если среди твоих любимых сайтов будет не только ВКонтакте, но и другие — почта Майл.ру, Мой Мир, Одноклассники и другие. На VHOD.cc можно добавить любые сайты и заходить на них одним нажатием, и при этом ты прямо на стартовой странице будешь видеть, есть ли у тебя новые сообщения, письма или что-то еще новое. ВКонтакте: вход После входа в Контакт откроется твоя личная страница, которую можно начать заполнять. Например, для начала можно поставить свою фотографию — нажми на пустое место, где она должна быть (там значок фотоаппарата) или на ссылку «Поставить фотографию». Все очень просто. Откроется окно загрузки, в котором нужно выбрать желаемую фотографию со своего компьютера. После этого фотку можно будет обрезать (если нужно), затем нажми «Сохранить». Чтобы добавить информацию о себе, нажми ссылку «Редактировать информацию» — там можно указать день рождения, свои интересы, место работы и многое другое. Это интересно Раньше для регистрации нужно было, чтобы друг отправил тебе приглашение — теперь такого нет, и можно зарегистрироваться совершенно свободно. Смотри также по теме ВКонтакте Моя страница ВКонтакте Как узнать, кто из друзей сейчас в онлайне и остаться невидимым Восстановление пароля ВКонтакте: что делать, если пароль неправильный Поделиться Твитнуть Смотреть «Регистрация ВКонтакте — VHOD.cc» Вход VHOD — ВХОД Обратная связь Политика конфиденциальности Главная страница: Вход на сайт Карта сайта";"0";"секреты, textnow.com, статьи, аккаунты, Вконтакте, регистрация Мне нравится 1446";"0";"   Правильная ссылка на эту статью:   Приложения WebMoney »  WebMoney Keeper »  WM Keeper для соцсетей WM Keeper Вконтакте WM Keeper Вконтакте — это специальная версия WM Keeper, предназначенная для управления WebMoney кошельками в социальной сети Вконтакте. Приложение WM Keeper Вконтакте позволяет прикрепить к аккаунту в социальной сети уже имеющиеся кошельки WM Keeper Standard (Mini) или зарегистрироваться в системе WebMoney Transfer заново. WM Keeper Вконтакте предоставляет следующие возможности. видеть баланс на кошельках; пополнять кошельки WM-картой (чеком Paymer); пополнять кошельки со счета мобильного телефона; пополнять кошельки с банковской карты в онлайне; переводить средства другим участникам системы WebMoney; переводить WM на прикрепленные ATM-карты, банковские счета, кошельки систем электронных платежей; выписывать и оплачивать счета; видеть последние операции; оплачивать услуги (мобильная связь, интернет, онлайн-игры и т.д.); создавать шаблоны платежей; производить обмен WM на WM; вести переписку с участниками WebMoney; входить в приложение по pin-коду; просматривать события в Деловой сети Events.WebMoney, сервисах WebMoney Files и WebMoney Mail; получить формальный аттестат не выходя из приложения. Приложение доступно по адресу https://vk.com/app667178 и работает в браузерах Internet Explorer версии 10 и выше, Mozilla FireFox, Chrome, Safari, Opera и других. См. также: Подключение WM Keeper Вконтакте Регистрация WM Keeper Вконтакте";"0";"aJoL3pFjEX0";"ВКонтакте регистрация в контакте бесплатно | вход на сайт ...";"http://www.danilidi.ru/poleznoe/VKontakte-Registration.html";"Эта статья (мини-пособие) рассчитана на новичков, которым необходимы такие подробности, как сам процесс регистрации в контакте. Кстати, наряду с ...";"Как зарегистрироваться в контакте без номера телефона ...";"http://geek-nose.com/kak-zaregistrirovatsya-v-kontakte-bez-nomera-telefona-podrobnaya-instrukciya/";"15 лют. 2017 р. - Процесс регистрации в Pinger; Регистрация в ВК без номера телефона. Тех, кого интересует как зарегистрироваться в контакте через ...";"Замість ВКонтакте. Відкрита реєстрація в українській соціальній ...";"http://nv.ua/ukr/style/life/events_l/zamist-vkontakte-vidkrita-rejestratsija-v-ukrajinsku-sotsialnu-merezhu-ukrainians-1275938.html";"7 черв. 2017 р. - Зараз бажаючим зареєструватися в новій соцмережі пропонують авторизуватися або за допомогою електронної пошти, або за ...";"ВКонтакте | Вход";"http://echo.msk.ru/auth/vkontakte";"Регистрация. Для продолжения Вам необходимо войти ВКонтакте. Телефон или email. Пароль. Войти Забыли пароль?";"ВКонтакте: вход на страницу VKontakte.ru - регистрация в ...";"http://techno.bigmir.net/help/vkontakte-vhod-na-stranicu-registraciya-vkontakteru-vkcom";"29 бер. 2012 р. - Сайт ВКонтакте - вход на страницу ВКонтакте, регистрация ВКонтакте.ру. VKontakte.ru вход на страницу и регистрация в социальной ...";
;;;;;;;;;;"Нет входа ВКонтакте";;"Многие юные пользователи соцсети Вконтакте сомневаются в том как найти вход на сайт ВКонтакте. Однако, этот вопрос довольно простой.<br> Ознакомьтесь с нашей инструкцией о Вконтакте, она будет интересной.";;"1";"0";"net-vhoda-vkontakte";"Не входит в Контакт? Решение ";" Почему не заходит ВКонтакте? Проблема и способы ее исправления";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";"Четыре способа обойти блокировку Вконтакте и Яндекса: инструкция для украинцев Эксперт по кибербезопасности дал советы 16 мая 2017 в 20:15, просмотров: 93685 Петр Порошенко утвердил решение Совета национальной безопасности и обороны Украины о расширении санкций. В числе прочих под ограничительные меры сроком на три года попали «Вконтакте» и «Одноклассники», а так же сервисы «Яндекса» и Mail.ru. Мы выяснили у эксперта, как украинские пользователи простыми способами могут обойти блокировку местными провайдерами и попасть на любимые сайты. фото: pixabay.com Подавая пример своим подчиненным и всему украинскому народу Петр Порошенко демонстративно удалил свою страницу в «Вконтакте». Однако все украинцы делать этого не спешат. «Конечно, можно и в Фейсбуке общаться, но у него нет ни возможности сохранить музыку, фильмы посмотреть. По мне он менее удобный, - рассказывает житель Киева. - Во «Вконтакте» было больше функций и возможностей. Непонятно, почему мы должны теперь предпринимать какие-то сложные действия, чтобы просто пообщаться.» Чтобы украинцы всегда оставались на связи, мы выяснили три простых способа обойти эти санкции. Как рассказал «МК» эксперт в области информационной безопасности, есть довольно много приложений и надстроек, которые позволяют беспрепятственно заходить на заблокированные сайты. Например, для браузеров Mozilla Firefox и Google Chrome есть приложение FreeGate. Оно свободно скачивается, а в верхнем правом углу на панели появляется соответствующая иконка в виде треугольника. При нажатии на нее можно переключить свою «принадлежность» к определенной стране и тем самым обмануть соответствующие службы. То есть для самого сайта, грубо говоря, пользователь будет находиться в той стране, которую он сам себе и выбрал. Есть и специальные веб-сервисы, которые позволяют обойти блокировку. Например, сервис proximize.me. Алгоритм действий очень простой — в поле Enter URL просто нужно скопировать ссылку на нужный сайт. Правда, грузится все это довольно долго. Также наш собеседник затронул и тему известного браузера TOR. Его логотип, луковица, выбран не просто так. Сам браузер действует по этому принципу, отправляя информацию через, проще говоря, множество промежуточных пунктов и не оставляет после себя никаких следов. Он разработан на платформе обычной Mozilla Firefox. Чаще всего, по словам Александра, для настройки браузера, достаточно просто ответить на вопросы мастера во время инсталяции. Больше ничего делать не нужно. Принцип его работы для обычного пользователя ничем не отличается от обычного браузера, а все процессы происходят незаметно от пользователя. А для работы на платформе iOs есть аналог — браузер Onion. Еще об одном способе обойти блокировку рассказал политик Дмитрий Гудков — при помощи Opera VPN. А вот ч сервисом Яндекс.Деньги может возникнуть проблема. По словам эксперта, сфера онлайн-платежей и переводов - более сложная и защищенная. И не исключено, что пользователи на Украине могут потерять доступ к этому сервису. Читайте материал «Запрет Яндекса и Вконтакте на Украине лишит их 10% трафика»";"0";"Блокировка ВКонтакте и Одноклассников: Шкиряк назвал следующие шаги Нужно заблокировать доступ в Украину других информационных ресурсов, считает Шкиряк Сергей Харченко вторник, 16 мая 2017, 14:12 Поделиться переглянути статтю українською Украинские интернет-провайдеры должны заблокировать доступ к социальным сетям "ВКонтакте" и "Одноклассники" Фото: Дарья Давыденко / Апостроф Президент Украины Петр Порошенко подписал указ, предусматривающий блокировку российских сайтов и социальных сетей. Украинские интернет-провайдеры должны заблокировать доступ к социальным сетям "ВКонтакте" и "Одноклассники", а также к сервисам "Яндекса" и Mail.ru. Какие следующие шаги собирается сделать Украина для борьбы с влиянием России в интернете, в блиц-интервью "Апострофу" рассказал советник министра внутренних дел Украины Зорян Шкиряк. — Вы были одним из инициаторов запрета российских социальных сетей и информационных ресурсов, вы удовлетворены решением президента Украины? — Я чрезвычайно доволен решением президента и выражаю поддержку всем, кто был причастен к борьбе с информационным террором Российской Федерации. Это наша общая победа и очень важный шаг в смысле защиты информационного пространства. Это историческое решение — важнейшее за годы войны с Россией. — Какие следующие шаги должна сделать Украина в этом направлении? — Наша позиция заключается в том, что выигрывать информационную войну важно не только в окопах. Поэтому, безусловно, 2017-й год должен стать годом защиты Украины от российского информационного террора и пропаганды, которая используется для манипуляции обществом. Для Путина влияние на сознание является основой гибридной войны. Далее нужно заблокировать доступ в Украину других информационных ресурсов, через которые ведется антиукраинская деятельность. Я убежден в том, что на территории Украины действуют как латентные, так и открытые агенты влияния Кремля. Чтобы не ходить далеко, возьмем телеканал "Интер". Это канал национального значения, через который абсолютно откровенно ведется антиукраинская пропаганда. Благо, сейчас есть понимание того, что нужно защитить себя от антиукраинской пропаганды и вбросов лживой информации для подстрекательства и дестабилизации страны. — Что грозит тем украинцам и компаниям, которые продолжат использовать запрещенные сервисы? — Меру ответственности должны определять правоохранительные органы в каждом конкретном случае. Должна быть ответственность за нарушение этих нормативов. Особенно учитывая, что речь идет о войне с Российской Федерацией. Сейчас самое главное — обеспечить техническое исполнение этого решения. — Украина располагает необходимыми ресурсами для того, чтобы реализовать эти запреты? — Есть и ресурсы, и технические возможности. Сергей Харченко Версия для печати Нашли ошибку - выделите и нажмите Ctrl+Enter Раздел: ПолитикаВласть Тема: Теги: запрет, Шкиряк, ВКонтакте, Однокласники, яндекс Поделиться Новости партнеров Загрузка... Читайте также После Балчуна: с кем люди Порошенко будут бороться за Укрзализныцю Кто возглавит Укрзализныцю после отставки Войцеха Балчуна 09.08.2017 года и в чем причина его отставки. В Украине придумали новое наказание для россиян: что из этого выйдет Нардепы предлагают ввести уголовную ответственность в виде лишения свободы для россиян, которые не законно пересекают границу Украины. Российских артистов, которые выступают в Крыму, надо сажать в тюрьму – Айдер Муждабаев Возвращение Крыма можно ускорить, но первый шаг должна сделать Украина, тогда Запад подключится и поможет Новости 16:11 ​Эксперт раскритиковал контракт на поставку в Украину американского угля 16:09 В России люди погибли при взрыве снаряда от ЗРК: опубликовано видео с моментом ЧП 15:59 ​Саудовская авиакомпания установила дресс-код для пассажиров 15:57 Появились детали разработанного США плана авиаудара по КНДР 15:51 В Литве задержали злоумышленников, пытавшихся продать украинцев в рабство: опубликованы фото 15:46 Шагом парадным под звук балалайки: самые нелепые видео песен и стихи о Керченском мосте 15:35 Президент "М.С.Л." рассказал, как их случайно внесли в санкционный список 15:31 Недавно вышедший на свободу российский оппозиционер сделал скандальное заявление по Крыму и боевикам ЛНР-ДНР Все новости Фотовзгляд Все галереи В Киеве отметили вторую годовщину создания Нацполиции Пожар в небоскребе в Дубае Эпоха Владимира Кличка: самые яркие фото боксерской карьеры Опубликованы лучшие фото, снятые на мобильный телефон В Киеве прошел молебен и крестный ход На Киевском ипподроме состоялось конноспортивное шоу Новости партнеров Загрузка...";"0";"Вход Регистрация A —  Биржа контента №1 Работа Заказчику Магазин статей Сервис Партнёрская программа Форум Помощь Поиск работы Мои работы Активные работы Все мои работы Продать статью Пользователи Списки пользователей Лучшие заказчики за 30 дней Лучшие заказчики за 90 дней Вывод средств Статистика Извещения Текущие извещения Последние приглашения Транзакции Новый заказ Заказы Все заказы Активные заказы Удаленные заказы Заказы без исполнителей Новый заказ Проекты Мои проекты Добавить проект Работы Статистика Пользователи Списки пользователей Лучшие авторы за 30 дней Лучшие авторы за 90 дней Пополнить счёт Извещения Текущие извещения Последние приглашения Транзакции Купить статью Поиск готовых статей Оплаченные статьи Корзина Продать статью Добавить статью Мои статьи Статьи на продаже Проданные статьи Вывод средств Пополнить счёт Извещения Текущие извещения Последние приглашения Транзакции Личные данные Профиль Редактировать данные Статистика Статистика автора Статистика вебмастера Пользователи Группы пользователей Заблокированные пользователи Лучшие авторы за 30 дней Лучшие авторы за 90 дней Лучшие заказчики за 30 дней Лучшие заказчики за 90 дней Вывод средств Пополнить счёт Извещения Текущие извещения Последние приглашения Транзакции Инструменты Проверка орфографии Семантический анализ текста Проверка уникальности Онлайн-проверка уникальности Онлайн проверка уникальности Купить символы Избранное Условия Привлечённые пользователи Активные пользователи Все пользователи Промо материалы Все баннеры Баннеры 468x60 Баннеры 240x400 Текстовые ссылки Извещения Текущие извещения Последние приглашения Транзакции Все форумы Все форумы Адвего Отзывы о контрагентах Обсуждение заказов с администрацией Новости Адвего Обсуждение статей Обсуждение заказов Поиск авторов для выполнения заказов в Адвего Поиск заказчиков для предложения своих услуг в Адвего Форум авторов Форум заказчиков Продажа статей Публичные обсуждения Форум заказчиков (green_list) Пишем правильно: орфография, пунктуация, лексика Общие вопросы по работе системы Обсуждение Advego Plagiatus SEO, реклама, социальные сети SEO, оптимизация и продвижение сайтов Контекстная реклама: Яндекс.Директ, Google Adwords, Бегун Социальные сети: SMO, SMM, реклама и раскрутка в социальных сетях Электронные платежные системы Веб-разработка, создание сайтов Связь с администрацией Баги и ошибки Адвего Личная переписка с администрацией (ЛПА) Разное Юмор Свободная тема Другое Помощь Автору. Вопросы по заказам Автору. Вопросы по магазину статей Заказчику. Вопросы по заказам Заказчику. Вопросы по магазину статей Вопросы по форуму Вопросы по блокировке Финансовые вопросы Вопросы по аккаунту и статистике Вопросы по партнерской программе Вопросы по Адвего Плагиатусу Термины и определения Вопросы по API Конкурсы Я копирайтер Родной край Поэтическая пародия Фантастический рассказ Байки Адвего Детектив Адвего Басни Адвего Адвего - детям Стендап Адвего Проза Адвего Файлохостинг Файлохостинг Адвего Проблемы с файлохостингом Адвего Мои сообщения Новые сообщения Поиск Ответы на вопросы Автору. Вопросы по заказам Автору. Вопросы по магазину статей Заказчику. Вопросы по заказам Заказчику. Вопросы по магазину статей Вопросы по форуму Вопросы по блокировке Финансовые вопросы Вопросы по аккаунту и статистике Вопросы по партнерской программе Вопросы по Адвего Плагиатусу Термины и определения Вопросы по API Пользовательское соглашение Новости  биржа контента №1 Контент для сайтов Магазин статей Проверка уникальности Проверка орфографии SEO-анализ текста wiki.Advego WebMoney Яндекс Деньги Mastercard Visa Безналичный платеж Вконтакте Facebook Twitter";"0";"WVh8ZkcalHs";"Почему нет возможности зайти ВКонтакт - Компьютерный Ликбез";"http://antonkozlov.ru/otvety-na-voprosy/pochemu-ya-ne-mogu-zajti-v-kontakt.html";"Не могу зайти в контакт - что же делать в данном случае? Почитайте причины, по которым не удается вход в соц. сеть.";"Запрет Вк и Одноклассников: какие браузеры уже заблокировали ...";"https://informator.dp.ua/2017/05/17/zapret-vk-i-odnoklassnikov-kakie-brauzery-uzhe-zablokirovali-dostup/";"17 трав. 2017 р. - Пока сообщения о том, что ВК запрещен по Указу Президента нет, однако неудобства испытывают почти все без исключения ...";"Как обойти блокировку ВК и Яндекс в Украине ... - Корреспондент.net";"http://korrespondent.net/tech/technews/3852504-zapret-vkontakte-kak-oboity-blokyrovku-saitov";"17 трав. 2017 р. - Блокировка ВК, Яндекса, Одноклассников и Mail.ru в Украине: как обойти запрет на российские соцсети и сайты. Пошаговая инструкция.";"Украинцев не будут наказывать за обход запрета ВКонтакте и ...";"https://www.unian.net/politics/1927516-ukraintsev-ne-budut-nakazyivat-za-obhod-zapreta-vkontakte-i-odnoklassnikov-snbo.html";"17 трав. 2017 р. - За вход в ВКонтакте украинцев не будут наказывать / фото Nashgorod ... наказывать, если вход на подсанкционные российские сайты ВКонтакте, ... паспортов: что делать, когда уже есть билеты, а документа нет.";"Ответы Mail.Ru: Нет входа в контакт, уже час пишут: К сожалению ...";"https://otvet.mail.ru/question/76181897";"13 лип. 2012 р. - Нет входа в контакт, уже час пишут: К сожалению, сервер ... Если там есть какие либо строки, содержащие слова в контакте ру или ...";
